WordID	MnID	Wd	SoundFile	PoS	Stem	Accent	Category	Description	Variation	RelatedWords	ExampleSentence																	
14	1	あーつな	ikmvoc_14.wav	形容詞				何をするか分からない、乱暴な、突拍子もない		あじゃーな	からー　あーつなんまりむぬ　やいば、なうゆ　あすががら　っさいん（彼は突拍子もないやつなので、なにをするかわからない）。	からー　いつまい　あーつなかいばならん（彼はいつもなにをしだすかわからない）。																
14	2	あーつな	ikmvoc_14.wav	名詞				何をするか分からない人、乱暴な人、突拍子もない人																				
15		あーなか	ikmvoc_15.wav	名詞				粟畑			ばー　あーなかう　まーりー　みーくーでぃ（私は粟畑を見て回ってこよう）。	ばー　あーなかー　むちや　うらん（私は粟畑は持っていない）。																
16		あーぬい	ikmvoc_16.wav	名詞				粟のおにぎり			あーぬいゆ　ふぁう（粟のおにぎりを食べる）。																	
17		あーぬいや　ばりーどぅ	ikmvoc_17.wav	成句				瓜二つ			うぬきゃが　っざっふぁー　あーぬいや　ちゃらてぃー　ばりーどぅ（彼ら父子は（粟のお握りをまっぷたつに割ったように）瓜二つだ）。																	
18		あーぬうはつ	ikmvoc_18.wav	名詞				粟の初もの［お供えに使う］			あーぬうはっちゅ　かんかい　うさぎでぃ（粟の初物を神様にお供えしよう）。																	
19		あーはな	ikmvoc_19.wav	名詞				上の方、表面		はな	つくえぬ　あーはなう　とぅみーみーる（机の上を探してみろ）。	みずぬ　あーはなん　っさぬどぅ　ゆりゅー。（水の上に草が揺れている）。	あーはなう　みーる（上側をみなさい）。	ゆーいぬ　すきむぬぬ　あーはなう　とぅいー　かんかい　すきー（お祝いの供え物の上（の方の一部）を取って神に供える）。														
20		あーばん	ikmvoc_20.wav	名詞				「名詞＋｛～ぬ・が｝」や「節＋ぬ」の後ろについて「～だけでなくその他に、～の上に」を表す	わーばん		りょこーぬ　あーばん　でぃんまい　っじたい（旅行をさせてもらった上に金も貰った）。	りょこーんかい　いきぬ　あーばん　でぃんまい　はーさ　っじたい（旅行に行った上に、お金もたくさんもらった［＞行かせてもらった］）。	ういが　あーばん（それ以外に、その上に）。															
21		あーび	ikmvoc_21.wav	名詞		A		上、高い方；上座；上級	わーび	あーぎ																		
22		あーび	ikmvoc_22.wav	名詞		C	〘貝〙	〘貝〙アワビ			あーびぬ　からひーどぅ　ぶーゆぎゃー　そぅー（アワビの殻で苧麻の皮を削ぐ）。																	
23		あーびゅーい	ikmvoc_23.wav	名詞				大祭事日和、大日取り、仲間御嶽で行われる収穫感謝祭で神酒が振舞われる		ほぅっびゅーい、かんびゅーい																		
25		あーぶ	ikmvoc_25.wav	名詞		A		穴、洞窟		はーぶ	やらびんみゃー　あーぶぬ　なかん　かっふゅーたい（子供たちは洞窟の中に入って隠れていた）。																	
27		あーらうんーた	ikmvoc_27.wav	名詞			〘植〙	〘植〙ヒメクマヤナギ																				
28		あーらうんーたぎー	ikmvoc_28.wav	名詞			〘植〙	〘植〙ヒメクマヤナギの木																				
29		あい	ikmvoc_29.wav	動詞	不規則動詞	A		コピュラ「だ、である」の終止形。過去形は「あたい」、連用形はなく、代わりに「名詞＋や　ひー」などを用いる。否定形は「あらん」、否定過去形は「あらっだん」、否定連用形は「あらだ」。通常、肯定、文終止の位置では省略される。接続形　～ば、～そぅが、未然形＋ばんまい、などでは「やいば」「やいそぅが」「やらばんまい」の形をとる																				
30		あい	ikmvoc_30.wav	指示詞			〘指示副詞〙	〘指示副詞〙そのように、そう；そうだ；「あいぬ」の形で、「そのような、そんな」　			あいや　あらん（そうではない）。	A: うらー　あいな？　B: んーでぃ　あいだら（A: それってそうなの？　B: そう、そうなんだよ）。	うりゅーぎゃー　あいや　ほぅん（それはそうはしない）。	うりゅーぎゃー　あいや　あっじゃん（それはそうは言わない）。	あい、あいてぃぬ　くとぅだら（そう、そういうわけなんだよ）。	あいはず（そのはずだ［＜そうであるはず］）。	あいぬ　むぬー　にゃーん（そんなものはない）。	あいぬがら　っさいん（そうかも知れない）。	あいどぅ　あたい（そうだった）。	あいどぅ　うむー（そう思う）。	あいちゃ（そのはずだ）。	あいだら（そうだよ）。						
31		あい	ikmvoc_31.wav	形容詞		A		（人に対して）付きまとう、じゃれつく		あり	かりゃー　ばぬんかいどぅ　うんそぅく　あいかい（彼は私につきまとっている）。																	
32		あい	ikmvoc_32.wav	名詞		B	〘植〙	〘植〙藍			みやこじょーふーぎゃー　あいひどぅ　そぅみー（宮古上布は藍で染める）。																	
33		あい	ikmvoc_33.wav	名詞		B	〘魚〙	〘魚〙アイゴ		あいっぞぅ	あいや　さすどぅす（アイゴは（毒針があって）刺す）。																	
